RANK,NAME,POSITION,WAR,G,PA,EPA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/EPA,WRC+,TEAM
1,허경민,3B,2.46,42,172,172,147,28,54,9,0,2,69,24,1,0,12,9,0,10,1,0,4,0.367,0.436,0.469,0.905,0.07,150.1,Doosan
2,강승호,2B,2.44,43,185,184,175,27,59,11,4,9,105,33,5,3,8,0,1,57,2,0,2,0.337,0.362,0.6,0.962,0.067,147.5,Doosan
3,양의지,C,1.41,38,159,158,144,19,50,6,0,6,74,37,1,0,9,2,1,18,3,0,4,0.347,0.384,0.514,0.898,0.053,136.8,Doosan
4,조수행,CF,0.99,36,92,87,82,19,26,1,0,0,27,5,17,1,4,0,0,5,1,5,1,0.317,0.345,0.329,0.674,-0.015,86.4,Doosan
5,라모스,RF,0.97,30,127,127,113,17,34,8,2,4,58,26,2,0,9,0,0,13,1,0,5,0.301,0.339,0.513,0.852,0.04,127.6,Doosan
6,박준영,SS,0.95,34,118,117,99,16,21,5,1,4,40,14,0,0,15,2,0,32,0,1,1,0.212,0.325,0.404,0.729,-0.001,95.8,Doosan
7,정수빈,CF,0.73,42,190,186,159,31,44,5,2,1,56,12,14,3,21,3,1,17,4,4,3,0.277,0.366,0.352,0.718,-0.003,94.7,Doosan
8,이유찬,2B,0.34,17,8,8,8,5,4,1,0,0,5,1,1,1,0,0,0,1,0,0,0,0.5,0.5,0.625,1.125,0.256,291.5,Doosan
9,김재환,LF,0.32,41,168,166,139,24,33,8,0,8,65,27,0,0,24,2,2,53,5,0,3,0.237,0.351,0.468,0.819,0.013,106.9,Doosan
10,김기연,C,0.31,18,52,52,49,6,18,2,0,1,23,4,0,1,3,0,0,8,3,0,0,0.367,0.404,0.469,0.873,0.051,135.6,Doosan
11,양석환,1B,0.27,43,174,174,153,22,37,10,0,7,68,29,2,2,17,3,0,36,10,0,1,0.242,0.328,0.444,0.772,0.005,101.0,Doosan
12,김민혁,1B,0.25,5,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.2,0.5,0.8,1.3,0.228,270.6,Doosan
13,김재호,SS,0.06,5,18,16,11,4,3,2,0,0,5,2,0,0,4,0,0,1,1,2,1,0.273,0.438,0.455,0.893,0.062,139.0,Doosan
14,서예일,SS,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Doosan
15,홍성호,RF,0.03,3,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.0,0.099,171.9,Doosan
16,장승현,C,0.02,9,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.2,0.273,0.3,0.573,-0.062,52.1,Doosan
17,안승한,C,0.01,4,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.146,-14.1,Doosan
18,김호준,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Doosan
18,김동주,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Doosan
18,김민규,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Doosan
18,이영하,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Doosan
18,정철원,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Doosan
23,전다민,RF,-0.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.328,-152.6,Doosan
24,윤준호,C,-0.07,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.328,-152.6,Doosan
25,전민재,2B,-0.25,24,47,47,46,6,12,1,0,2,19,6,0,1,0,0,0,7,2,0,1,0.261,0.255,0.413,0.668,-0.061,50.7,Doosan
26,김대한,CF,-0.28,26,58,56,47,7,6,1,0,0,7,4,1,1,7,1,0,16,0,2,1,0.128,0.25,0.149,0.399,-0.108,17.6,Doosan
27,김인태,LF,-0.42,10,26,26,23,3,4,0,0,1,7,2,0,0,2,0,0,7,1,0,1,0.174,0.231,0.304,0.535,-0.123,2.9,Doosan
28,박계범,SS,-0.43,24,20,20,15,5,3,1,0,0,4,0,1,0,5,0,0,7,2,0,0,0.2,0.4,0.267,0.667,0.031,120.1,Doosan
29,김태근,LF,-0.55,19,19,18,16,1,2,0,0,0,2,1,0,0,0,2,0,6,0,1,0,0.125,0.222,0.125,0.347,-0.148,-9.5,Doosan
1,김도영,3B,2.04,40,184,182,169,38,56,5,2,11,98,27,17,1,10,2,1,36,1,1,2,0.331,0.372,0.58,0.952,0.054,137.7,KIA
2,최원준,CF,1.29,38,150,149,134,17,43,10,1,3,64,21,12,6,15,0,0,24,4,1,0,0.321,0.389,0.478,0.867,0.049,134.0,KIA
3,최형우,DH,1.13,39,164,164,144,25,42,12,0,7,75,35,0,1,17,1,1,26,0,0,2,0.292,0.366,0.521,0.887,0.059,141.9,KIA
4,김선빈,2B,1.04,36,138,136,118,17,34,6,0,4,52,16,3,0,14,4,0,18,8,1,0,0.288,0.382,0.441,0.823,0.018,110.8,KIA
5,이우성,1B,0.74,40,168,168,149,32,49,8,0,5,72,26,5,0,17,2,0,30,6,0,0,0.329,0.405,0.483,0.888,0.051,135.9,KIA
6,한준수,C,0.7,31,87,87,78,10,27,5,0,2,38,15,0,0,5,1,0,17,1,0,3,0.346,0.379,0.487,0.866,0.031,120.5,KIA
7,김태군,C,0.66,27,73,72,62,7,16,2,0,2,24,10,0,0,5,5,0,6,4,1,0,0.258,0.361,0.387,0.748,0.002,98.6,KIA
8,서건창,2B,0.58,33,96,96,77,18,23,5,0,1,31,9,3,1,17,1,0,9,1,0,1,0.299,0.427,0.403,0.83,0.038,125.8,KIA
9,박찬호,SS,0.55,32,140,138,129,14,35,6,0,0,41,8,5,2,7,1,0,13,1,2,1,0.271,0.312,0.318,0.63,-0.044,63.5,KIA
10,김호령,CF,0.32,34,36,36,31,5,5,0,0,1,8,3,2,1,5,0,0,16,0,0,0,0.161,0.278,0.258,0.536,-0.084,32.5,KIA
11,이창진,LF,0.29,34,79,77,57,11,15,2,0,0,17,6,2,1,18,0,0,11,1,2,2,0.263,0.429,0.298,0.727,0.012,106.1,KIA
12,홍종표,2B,0.25,18,31,30,26,3,8,2,1,0,12,4,0,1,3,1,0,8,0,1,0,0.308,0.4,0.462,0.862,0.041,126.8,KIA
13,박정우,CF,0.15,3,6,6,5,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0.4,0.5,0.4,0.9,0.075,153.7,KIA
14,고종욱,LF,0.15,22,27,27,24,3,7,2,0,1,12,4,0,0,3,0,0,4,2,0,0,0.292,0.37,0.5,0.87,0.026,116.8,KIA
