NAME,TEAM,POSITION,WAR,G,PA,EPA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/EPA,WRC+
김건형,KT,LF,-0.14,8.0,22,22,21,1,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.143,0.182,0.19,0.372,-0.08,35.7
홍현빈,KT,CF,-0.14,4.0,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0.333,0.0,0.333,-0.088,29.5
안치영,KT,RF,-0.2,18.0,38,36,35,8,8,0,0,0,8,3,0,1,1,0,0,10,0,2,0,0.229,0.25,0.229,0.479,-0.1,24.8
배정대,KT,CF,-0.31,14.0,68,68,62,6,18,3,0,1,24,9,3,2,4,0,0,20,0,0,2,0.29,0.324,0.387,0.711,-0.023,79.6
정준영,KT,LF,-0.34,10.0,16,15,12,3,1,0,0,0,1,0,0,0,3,0,0,3,0,1,0,0.083,0.267,0.083,0.35,-0.065,50.6
조용호,KT,LF,-0.34,34.0,105,104,98,12,25,3,0,0,28,8,3,0,6,0,0,20,3,1,0,0.255,0.298,0.286,0.584,-0.057,53.9
이호연,KT,2B,-0.39,16.0,24,24,23,2,4,0,0,0,4,0,0,0,1,0,0,7,2,0,0,0.174,0.208,0.174,0.382,-0.152,-18.8
박병호,KT,1B,-0.47,37.0,100,100,86,7,17,1,0,3,27,10,1,0,11,3,0,32,8,0,0,0.198,0.31,0.314,0.624,-0.041,65.6
오스틴,LG,1B,1.68,,185,183,158,26,50,8,1,10,90,29,4,1,22,2,2,36,3,0,3,0.316,0.4,0.57,0.97,0.083,159.6
박동원,LG,C,1.46,,147,146,124,15,33,5,0,5,53,20,1,0,20,0,0,28,4,1,2,0.266,0.363,0.427,0.79,0.028,117.8
문성주,LG,LF,1.33,,167,166,139,19,42,8,1,0,52,24,5,3,22,2,0,16,1,1,3,0.302,0.398,0.374,0.772,0.019,111.5
홍창기,LG,RF,1.28,,178,178,144,26,42,1,2,2,53,15,5,1,30,4,1,29,4,0,0,0.292,0.427,0.368,0.795,0.035,123.5
박해민,LG,CF,0.84,,182,180,159,26,45,5,2,1,57,18,22,3,14,3,0,36,2,2,4,0.283,0.344,0.358,0.702,-0.026,77.3
구본혁,LG,3B,0.79,,79,79,69,11,22,4,0,1,29,14,1,1,8,1,0,6,1,0,1,0.319,0.392,0.42,0.812,0.031,120.7
오지환,LG,SS,0.74,,148,147,127,23,30,10,1,2,48,10,9,3,18,2,0,43,1,1,0,0.236,0.34,0.378,0.718,-0.004,93.6
김현수,LG,DH,0.71,,183,183,167,17,54,9,1,4,77,26,2,1,14,0,1,22,2,0,2,0.323,0.372,0.461,0.833,0.024,115.2
신민재,LG,2B,0.65,,146,142,121,23,32,5,1,0,39,17,12,2,20,0,0,15,3,4,1,0.264,0.366,0.322,0.688,-0.012,88.1
김범석,LG,C,0.51,,71,70,61,6,21,2,0,3,32,16,0,0,9,1,2,17,0,0,0,0.344,0.437,0.525,0.962,0.067,147.5
안익훈,LG,CF,0.1,,7,7,6,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.333,0.286,0.5,0.786,-0.027,76.3
김현종,LG,CF,0.09,,9,9,9,6,2,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0.222,0.222,0.333,0.555,0.014,107.8
최승민,LG,LF,0.08,,6,6,6,9,1,0,0,0,1,0,8,4,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,-0.177,-38.3
최원영,LG,LF,0.06,,2,2,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.104,176.2
김주성,LG,2B,0.02,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.297,-129.0
최동환,LG,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
송찬의,LG,RF,-0.02,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.328,-152.6
허도환,LG,C,-0.16,,29,27,21,4,3,0,0,0,3,0,0,0,2,4,0,6,2,2,0,0.143,0.333,0.143,0.476,-0.073,45.5
김태우,LG,2B,-0.17,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.309,-138.2
손호영,LG,3B,-0.21,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-0.312,-140.8
문보경,LG,3B,-0.6,,173,171,150,17,38,7,0,4,57,22,1,3,17,0,1,32,5,1,5,0.253,0.32,0.38,0.7,-0.017,84.1
김혜성,KW,2B,2.18,,153,153,140,25,40,4,1,7,67,24,8,1,11,2,0,14,1,0,0,0.286,0.346,0.479,0.825,0.028,118.4
도슨,KW,LF,1.61,,179,179,160,28,56,12,2,6,90,23,1,2,16,2,0,26,2,0,1,0.35,0.413,0.563,0.976,0.081,158.8
송성문,KW,3B,1.01,,143,143,126,16,34,4,1,6,58,25,0,0,13,1,0,17,2,0,3,0.27,0.336,0.46,0.796,0.013,106.9
이형종,KW,RF,0.94,,87,87,71,18,19,3,0,4,34,17,1,0,15,1,0,17,0,0,0,0.268,0.402,0.479,0.881,0.061,143.6
이주형,KW,CF,0.68,,49,49,46,10,17,3,1,1,25,3,0,0,3,0,0,10,0,0,0,0.37,0.408,0.543,0.951,0.091,166.2
이용규,KW,LF,0.67,,100,98,83,12,26,3,0,1,32,5,1,1,12,2,0,17,0,2,1,0.313,0.408,0.386,0.794,0.026,116.1
고영우,KW,3B,0.42,,70,70,64,7,24,4,0,0,28,7,0,0,6,0,0,17,0,0,0,0.375,0.429,0.438,0.867,0.052,136.4
변상권,KW,CF,0.35,,56,56,52,3,14,1,0,2,21,9,0,0,3,0,0,14,2,0,1,0.269,0.304,0.404,0.708,-0.01,89.4
주성원,KW,RF,0.06,,44,43,39,6,9,1,0,1,13,5,0,0,4,0,0,14,2,1,0,0.231,0.302,0.333,0.635,-0.023,80.0
송지후,KW,2B,0.04,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.539,507.6
김시앙,KW,C,0.03,,6,6,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,-0.193,-50.0
김주형,KW,SS,0.03,,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.5,0.0,0.5,0.036,124.4
김재웅,KW,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
김연주,KW,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
김윤하,KW,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
문성현,KW,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
주승우,KW,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
김휘집,KW,SS,-0.02,,156,154,138,19,33,7,1,4,54,23,0,0,12,3,1,43,9,1,2,0.239,0.31,0.391,0.701,-0.026,77.3
김동헌,KW,C,-0.09,,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.2,0.429,0.2,0.629,0.001,97.3
박성빈,KW,C,-0.1,,9,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.125,0.222,0.125,0.347,-0.153,-19.6
김웅빈,KW,1B,-0.1,,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0.0,-0.309,-78.7
이승원,KW,2B,-0.12,,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0.0,-0.321,-98.2
김태진,KW,3B,-0.19,,14,14,14,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.214,0.428,-0.141,-10.4
박준형,KW,C,-0.26,,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,-0.314,-142.0
이재상,KW,SS,-0.31,,26,26,26,3,6,1,0,1,10,3,0,0,0,0,0,8,0,0,0,0.231,0.231,0.385,0.616,-0.096,23.9
김재현,KW,C,-0.36,,124,122,112,13,26,7,0,0,33,11,0,0,3,4,0,29,4,2,3,0.232,0.27,0.295,0.565,-0.077,38.9
이원석,KW,1B,-0.54,,81,81,68,5,16,3,0,0,19,6,0,0,10,1,0,11,1,0,2,0.235,0.333,0.279,0.612,-0.049,59.5
박수종,KW,CF,-0.59,,37,37,34,5,6,0,0,0,6,2,0,0,2,1,0,1,1,0,0,0.176,0.243,0.176,0.419,-0.128,-0.7
예진원,KW,CF,-0.61,,21,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0,0,0.211,0.286,0.263,0.549,-0.084,32.5
임지열,KW,LF,-0.7,,41,41,37,3,4,0,0,1,7,4,0,0,3,0,0,12,2,0,1,0.108,0.171,0.189,0.36,-0.124,2.6
최주환,KW,1B,-0.95,,135,135,121,13,22,4,0,4,38,17,0,1,11,2,1,27,4,0,1,0.182,0.259,0.314,0.573,-0.081,35.2
김영웅,Samsung,SS,1.89,,173,172,153,24,46,8,1,9,83,26,3,0,18,1,0,50,2,1,0,0.301,0.378,0.542,0.92,0.038,125.8
구자욱,Samsung,LF,1.71,,179,178,158,26,49,10,0,8,83,33,3,2,13,6,1,26,1,0,2,0.31,0.38,0.525,0.905,0.046,132.0
맥키넌,Samsung,1B,1.56,,162,160,138,17,50,7,0,3,66,19,1,0,24,0,3,15,3,0,0,0.362,0.457,0.478,0.935,0.062,143.6
김지찬,Samsung,CF,1.3,,169,165,143,24,40,7,0,1,50,13,12,0,18,4,0,11,1,4,0,0.28,0.376,0.35,0.726,0.002,98.5
이성규,Samsung,CF,1.12,,89,86,68,12,16,3,0,5,34,16,2,0,10,6,0,27,1,3,2,0.235,0.372,0.5,0.872,0.025,115.5
이재현,Samsung,SS,1.1,,108,108,94,15,26,7,0,3,42,13,0,0,13,0,0,23,1,0,1,0.277,0.361,0.447,0.808,0.008,103.0
김헌곤,Samsung,RF,0.44,,78,77,70,11,23,3,0,2,32,9,1,1,6,1,0,15,1,1,0,0.329,0.39,0.457,0.847,0.032,121.3
강민호,Samsung,C,0.27,,134,133,119,14,31,2,0,2,39,13,0,0,12,2,1,13,8,0,1,0.261,0.336,0.328,0.664,-0.027,76.4
김재혁,Samsung,LF,0.27,,34,34,30,5,7,2,1,0,11,6,2,1,2,0,0,11,0,0,2,0.233,0.265,0.367,0.632,-0.025,77.6
류지혁,Samsung,2B,0.23,,81,81,71,9,20,1,0,1,24,12,3,2,8,1,0,14,0,0,1,0.282,0.358,0.338,0.696,-0.011,88.6
전병우,Samsung,3B,0.2,,12,12,10,1,4,2,0,0,6,1,0,0,1,1,0,4,0,0,0,0.4,0.5,0.6,1.1,0.136,200.1
류승민,Samsung,LF,0.13,,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.0,0.667,0.0,0.667,0.138,201.8
김재상,Samsung,2B,0.08,,68,67,64,10,15,3,0,1,21,9,2,0,2,0,0,16,0,1,1,0.234,0.254,0.328,0.582,-0.091,28.4
안주형,Samsung,2B,0.07,,34,33,30,4,8,2,0,0,10,1,2,1,3,0,0,5,0,1,0,0.267,0.333,0.333,0.666,0.014,107.4
김태훈,Samsung,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
김대우,Samsung,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
육선엽,Samsung,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
이병헌,Samsung,C,0.0,,41,41,35,2,10,1,0,0,11,3,0,0,5,1,0,10,0,0,0,0.286,0.39,0.314,0.704,-0.012,88.0
김동엽,Samsung,LF,0.0,,14,13,11,1,2,1,0,0,3,2,0,0,1,1,1,5,0,0,1,0.182,0.286,0.273,0.559,-0.04,69.1
김호진,Samsung,2B,-0.06,,25,25,22,0,2,0,0,0,2,3,0,0,1,1,0,8,1,0,1,0.091,0.16,0.091,0.251,-0.158,-23.9
공민규,Samsung,1B,-0.06,,14,14,11,1,1,0,0,1,4,2,0,0,1,2,0,7,1,0,0,0.091,0.286,0.364,0.65,-0.034,70.9
김재성,Samsung,C,-0.08,,23,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0,0,0.2,0.304,0.25,0.554,-0.037,68.4
김성윤,Samsung,RF,-0.11,,75,72,61,13,13,2,0,0,15,6,3,1,8,1,0,15,1,3,2,0.213,0.306,0.246,0.552,-0.069,46.8
김현준,Samsung,CF,-0.13,,77,76,67,9,11,6,1,0,19,6,0,0,6,1,0,21,4,1,2,0.164,0.237,0.284,0.521,-0.097,23.8
오재일,Samsung,1B,-0.26,,47,47,41,3,8,4,1,1,17,5,0,0,6,0,0,8,2,0,0,0.195,0.298,0.415,0.713,-0.037,68.5
김동진,Samsung,2B,-0.28,,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.0,0.143,0.0,0.143,-0.223,-73.2
강한울,Samsung,3B,-0.35,,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.248,-69.2
허경민,Doosan,3B,2.46,,172,172,147,28,54,9,0,2,69,24,1,0,12,9,0,10,1,0,4,0.367,0.436,0.469,0.905,0.07,150.1
강승호,Doosan,2B,2.44,,185,184,175,27,59,11,4,9,105,33,5,3,8,0,1,57,2,0,2,0.337,0.362,0.6,0.962,0.067,147.5
양의지,Doosan,C,1.41,,159,158,144,19,50,6,0,6,74,37,1,0,9,2,1,18,3,0,4,0.347,0.384,0.514,0.898,0.053,136.8
조수행,Doosan,CF,0.99,,92,87,82,19,26,1,0,0,27,5,17,1,4,0,0,5,1,5,1,0.317,0.345,0.329,0.674,-0.015,86.4
라모스,Doosan,RF,0.97,,127,127,113,17,34,8,2,4,58,26,2,0,9,0,0,13,1,0,5,0.301,0.339,0.513,0.852,0.04,127.6
박준영,Doosan,SS,0.95,,118,117,99,16,21,5,1,4,40,14,0,0,15,2,0,32,0,1,1,0.212,0.325,0.404,0.729,-0.001,95.8
정수빈,Doosan,CF,0.73,,190,186,159,31,44,5,2,1,56,12,14,3,21,3,1,17,4,4,3,0.277,0.366,0.352,0.718,-0.003,94.7
이유찬,Doosan,2B,0.34,,8,8,8,5,4,1,0,0,5,1,1,1,0,0,0,1,0,0,0,0.5,0.5,0.625,1.125,0.256,291.5
김재환,Doosan,LF,0.32,,168,166,139,24,33,8,0,8,65,27,0,0,24,2,2,53,5,0,3,0.237,0.351,0.468,0.819,0.013,106.9
김기연,Doosan,C,0.31,,52,52,49,6,18,2,0,1,23,4,0,1,3,0,0,8,3,0,0,0.367,0.404,0.469,0.873,0.051,135.6
양석환,Doosan,1B,0.27,,174,174,153,22,37,10,0,7,68,29,2,2,17,3,0,36,10,0,1,0.242,0.328,0.444,0.772,0.005,101.0
김민혁,Doosan,1B,0.25,,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.2,0.5,0.8,1.3,0.228,270.6
김재호,Doosan,SS,0.06,,18,16,11,4,3,2,0,0,5,2,0,0,4,0,0,1,1,2,1,0.273,0.438,0.455,0.893,0.062,139.0
서예일,Doosan,SS,0.06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
홍성호,Doosan,RF,0.03,,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.0,0.099,171.9
장승현,Doosan,C,0.02,,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.2,0.273,0.3,0.573,-0.062,52.1
안승한,Doosan,C,0.01,,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.146,-14.1
김호준,Doosan,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
김동주,Doosan,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
김민규,Doosan,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
이영하,Doosan,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
정철원,Doosan,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
전다민,Doosan,RF,-0.03,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.328,-152.6
윤준호,Doosan,C,-0.07,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.328,-152.6
전민재,Doosan,2B,-0.25,,47,47,46,6,12,1,0,2,19,6,0,1,0,0,0,7,2,0,1,0.261,0.255,0.413,0.668,-0.061,50.7
김대한,Doosan,CF,-0.28,,58,56,47,7,6,1,0,0,7,4,1,1,7,1,0,16,0,2,1,0.128,0.25,0.149,0.399,-0.108,17.6
김인태,Doosan,LF,-0.42,,26,26,23,3,4,0,0,1,7,2,0,0,2,0,0,7,1,0,1,0.174,0.231,0.304,0.535,-0.123,2.9
박계범,Doosan,SS,-0.43,,20,20,15,5,3,1,0,0,4,0,1,0,5,0,0,7,2,0,0,0.2,0.4,0.267,0.667,0.031,120.1
김태근,Doosan,LF,-0.55,,19,18,16,1,2,0,0,0,2,1,0,0,0,2,0,6,0,1,0,0.125,0.222,0.125,0.347,-0.148,-9.5
김도영,KIA,3B,2.04,,184,182,169,38,56,5,2,11,98,27,17,1,10,2,1,36,1,1,2,0.331,0.372,0.58,0.952,0.054,137.7
최원준,KIA,CF,1.29,,150,149,134,17,43,10,1,3,64,21,12,6,15,0,0,24,4,1,0,0.321,0.389,0.478,0.867,0.049,134.0
최형우,KIA,DH,1.13,,164,164,144,25,42,12,0,7,75,35,0,1,17,1,1,26,0,0,2,0.292,0.366,0.521,0.887,0.059,141.9
김선빈,KIA,2B,1.04,,138,136,118,17,34,6,0,4,52,16,3,0,14,4,0,18,8,1,0,0.288,0.382,0.441,0.823,0.018,110.8
이우성,KIA,1B,0.74,,168,168,149,32,49,8,0,5,72,26,5,0,17,2,0,30,6,0,0,0.329,0.405,0.483,0.888,0.051,135.9
한준수,KIA,C,0.7,,87,87,78,10,27,5,0,2,38,15,0,0,5,1,0,17,1,0,3,0.346,0.379,0.487,0.866,0.031,120.5
김태군,KIA,C,0.66,,73,72,62,7,16,2,0,2,24,10,0,0,5,5,0,6,4,1,0,0.258,0.361,0.387,0.748,0.002,98.6
서건창,KIA,2B,0.58,,96,96,77,18,23,5,0,1,31,9,3,1,17,1,0,9,1,0,1,0.299,0.427,0.403,0.83,0.038,125.8
박찬호,KIA,SS,0.55,,140,138,129,14,35,6,0,0,41,8,5,2,7,1,0,13,1,2,1,0.271,0.312,0.318,0.63,-0.044,63.5
김호령,KIA,CF,0.32,,36,36,31,5,5,0,0,1,8,3,2,1,5,0,0,16,0,0,0,0.161,0.278,0.258,0.536,-0.084,32.5
이창진,KIA,LF,0.29,,79,77,57,11,15,2,0,0,17,6,2,1,18,0,0,11,1,2,2,0.263,0.429,0.298,0.727,0.012,106.1
홍종표,KIA,2B,0.25,,31,30,26,3,8,2,1,0,12,4,0,1,3,1,0,8,0,1,0,0.308,0.4,0.462,0.862,0.041,126.8
박정우,KIA,CF,0.15,,6,6,5,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0.4,0.5,0.4,0.9,0.075,153.7
고종욱,KIA,LF,0.15,,27,27,24,3,7,2,0,1,12,4,0,0,3,0,0,4,2,0,0,0.292,0.37,0.5,0.87,0.026,116.8
박민,KIA,SS,0.11,,13,13,13,2,4,2,0,0,6,1,0,0,0,0,0,4,0,0,0,0.308,0.308,0.462,0.77,-0.008,90.9
변우혁,KIA,1B,0.06,,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,-0.032,72.5
소크라테스,KIA,LF,0.01,,175,174,163,25,44,8,0,8,76,29,3,0,10,1,2,24,4,0,1,0.27,0.314,0.466,0.78,0.007,102.3
전상현,KIA,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
최지민,KIA,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
곽도규,KIA,P,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
