RANK,NAME,POSITION,TOTAL RAA,G,GS,IP,IFH,FC,PO,ASS,E,BBO,BBO%,F%,RF9,RANGE RAA,ERR RAA,DP RAA,BT RAA,/144,TEAM
17,노진혁,SS,-0.88,12,11,75.0,2,0,17,17,2,29,86.2,94.4,4.08,-1.28,0.27,0.13,0.0,-7.48,lotte
18,최항,1B,-0.96,7,1,15.1,0,0,9,0,0,8,100.0,100.0,5.28,-0.99,0.04,0.0,0.0,-5.51,lotte
19,나승엽,1B,-1.29,16,14,115.0,5,0,116,10,3,96,91.7,97.7,9.86,-1.56,0.28,0.0,-0.01,-10.9,lotte
20,손호영,SS,-2.76,6,4,39.0,2,0,8,9,1,12,75.0,94.4,3.92,-2.97,0.14,0.06,0.0,-13.73,lotte
21,한동희,3B,-2.85,5,5,25.1,4,0,1,5,2,6,0.0,75.0,2.13,-2.38,-0.41,-0.38,0.32,-41.07,lotte
22,정훈,1B,-3.44,26,24,206.0,9,0,185,18,2,121,90.9,99.0,8.87,-3.46,0.01,0.0,0.01,-13.77,lotte
23,이학주,SS,-3.7,17,11,115.0,4,0,16,34,1,29,82.8,98.0,3.91,-2.63,-0.09,-0.98,0.0,-29.57,lotte
24,박승욱,SS,-4.57,18,13,106.1,5,0,11,31,5,23,56.5,89.4,3.55,-3.73,-1.12,0.28,0.0,-17.78,lotte
25,이주찬,3B,-5.38,10,5,46.1,2,0,3,9,4,13,53.8,75.0,2.33,-3.97,-0.83,-0.57,0.0,-55.31,lotte
1,박찬호,SS,,32,31,269.0,7,0,42,81,4,62,82.3,96.9,4.12,4.49,-0.53,-0.41,,16.0,KIA
2,김선빈,2B,,35,33,271.0,11,0,64,89,5,72,77.8,96.8,5.08,3.18,-0.49,-0.21,,9.9,KIA
3,홍종표,2B,,6,0,14.0,0,0,4,7,0,2,100.0,100.0,7.07,0.86,0.05,,,7.33,KIA
4,변우혁,1B,,1,1,6.0,0,0,9,0,0,0,,100.0,13.5,0.52,0.01,,,38.53,KIA
5,박민,SS,,6,3,30.0,4,0,6,11,3,18,61.1,85.0,5.1,0.01,-0.39,0.71,,6.86,KIA
6,서건창,2B,,17,7,71.2,0,0,15,23,1,13,92.3,97.4,4.77,-0.17,0.27,0.21,,1.39,KIA
7,김선빈,SS,,2,0,3.0,0,0,1,2,0,3,100.0,100.0,9.0,-0.04,0.01,,,-0.11,KIA
8,황대인,1B,,2,2,10.0,1,0,9,1,0,9,88.9,100.0,9.0,-0.4,0.02,,,-18.13,KIA
9,홍종표,SS,,6,6,43.0,0,0,8,11,1,2,50.0,95.0,3.98,-1.05,0.15,0.49,,-3.29,KIA
10,홍종표,3B,,5,0,9.0,0,0,0,0,0,0,,,0.0,-1.0,0.03,,,-7.71,KIA
11,김규성,SS,,5,0,11.2,0,0,4,3,1,3,66.7,87.5,5.4,0.2,-0.46,-0.79,,-25.21,KIA
12,김규성,3B,,1,0,5.0,0,0,0,0,0,0,,,0.0,-1.18,0.02,,,-27.88,KIA
13,김도영,3B,,40,40,342.2,11,0,27,61,9,31,35.5,90.7,2.31,-0.79,-1.27,0.0,0.47,-5.72,KIA
14,서건창,1B,,17,8,92.0,2,0,69,9,2,35,88.6,97.5,7.63,-2.83,0.23,,-0.01,-11.41,KIA
15,이우성,1B,,33,29,248.2,8,0,228,15,3,132,91.7,98.8,8.79,-3.48,-0.88,,-0.01,-15.73,KIA
1,박민우,2B,,37,35,303.2,8,0,73,81,2,87,88.5,98.7,4.56,6.98,0.62,-0.68,,26.95,NC
2,김주원,SS,,39,34,306.1,7,0,48,75,3,54,81.5,97.6,3.61,6.94,-0.41,-0.06,,23.32,NC
3,오영수,1B,,8,5,41.0,0,0,45,3,0,14,100.0,100.0,10.54,1.39,0.1,,,16.48,NC
4,도태훈,1B,,12,3,40.1,2,0,38,3,0,22,90.9,100.0,9.15,1.23,0.1,,,8.33,NC
5,도태훈,2B,,4,0,8.0,0,0,1,4,0,4,100.0,100.0,5.63,0.79,0.03,,,5.16,NC
6,도태훈,3B,,8,0,22.0,0,0,1,9,1,2,50.0,90.9,4.09,1.3,-0.42,-0.13,,4.7,NC
7,김수윤,1B,,3,0,12.0,1,0,9,1,0,3,66.7,100.0,7.5,0.54,0.03,,,20.44,NC
8,김한별,3B,,2,0,1.1,0,0,0,0,0,0,,,0.0,0.0,0.0,,,0.04,NC
9,김세훈,SS,,1,0,0.1,1,0,0,0,0,0,,,0.0,0.0,0.0,,,-0.47,NC
10,김한별,2B,,6,0,9.0,0,0,3,0,0,0,,100.0,3.0,-0.13,0.03,,,-0.75,NC
11,데이비슨,1B,,32,32,266.1,5,0,221,22,5,125,92.0,98.0,8.21,0.52,-0.84,,0.11,-0.94,NC
12,서호철,3B,,40,40,336.1,8,0,27,63,4,44,72.7,95.7,2.41,0.66,-0.8,0.13,-0.26,-0.99,NC
13,최정원,2B,,7,5,39.0,0,0,12,10,1,0,,95.7,5.08,-2.7,-0.35,0.68,,-15.54,NC
14,김한별,SS,,11,6,53.0,0,0,7,14,0,9,100.0,100.0,3.57,-3.0,0.19,0.06,,-22.04,NC
