RANK,NAME,TEAM,POSITION,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,RRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,RRA9,RRA9PF,FIP,WHIP
7,이재학,NC,P,0.52,7,7,0,0,0,0,2,4,0,0,37.2,18,21,20.65,162,34,8,2,6,13,3,0,35,1,0,0,4.3,5.02,4.93,4.97,5.1,1.25
8,한재승,NC,P,0.52,20,0,20,4,0,0,0,0,0,4,18.0,3,3,5.8,73,15,1,0,0,7,0,0,17,0,0,2,1.5,1.5,2.9,2.89,3.06,1.22
9,임정호,NC,P,0.35,15,0,15,1,0,0,1,1,0,4,12.0,4,5,4.45,60,14,1,0,0,8,1,1,10,1,0,0,3.0,3.75,3.34,3.25,4.2,1.83
10,이준호,NC,P,0.16,12,0,12,3,0,0,2,2,0,0,13.0,6,6,6.35,59,13,2,0,2,8,1,0,9,0,0,0,4.15,4.15,4.4,4.37,6.46,1.62
11,류진욱,NC,P,0.09,13,0,13,1,0,0,0,0,0,3,11.1,6,6,6.85,49,12,2,0,0,3,0,0,6,0,0,1,4.76,4.76,5.44,5.25,3.71,1.32
12,신영우,NC,P,0.04,2,1,1,1,0,0,0,0,0,0,5.2,4,4,4.0,29,4,2,0,0,6,2,0,6,0,0,0,6.35,6.35,6.35,6.29,5.94,1.76
13,전사민,NC,P,-0.02,3,0,3,2,0,0,0,0,0,0,2.2,3,3,2.5,17,6,1,0,0,2,1,0,2,0,0,0,10.13,10.13,8.44,7.94,5.83,3.0
14,서의태,NC,P,-0.02,10,0,10,2,0,0,1,0,0,0,7.2,8,8,6.45,32,5,1,0,1,6,0,0,7,0,0,1,9.39,9.39,7.57,7.64,5.91,1.43
15,채원후,NC,P,-0.03,3,0,3,1,0,0,0,0,0,0,3.0,4,4,4.0,18,6,2,0,0,3,0,0,2,0,0,2,12.0,12.0,12.0,11.89,5.65,3.0
16,김영규,NC,P,-0.03,12,0,12,0,0,0,2,1,0,4,10.0,7,10,6.85,46,9,1,0,1,9,0,0,13,1,0,0,6.3,9.0,6.16,6.09,4.94,1.8
17,송명기,NC,P,-0.09,7,0,7,3,0,0,1,0,0,0,8.0,8,8,8.0,37,7,3,0,0,4,2,1,7,0,0,1,9.0,9.0,9.0,8.98,3.96,1.38
18,최성영,NC,P,-0.12,8,0,8,4,0,0,0,0,1,1,9.0,8,8,7.5,46,15,2,0,3,5,0,0,9,0,0,0,8.0,8.0,7.5,7.49,7.4,2.22
